Category,Precision,Recall,Accuracy,Total_mean,Model,Version
4,0.2659,0.1485,0.6756,0.4869,nb-whisper-medium,v1
4,0.2482,0.1403,0.6698,0.4789,nb-whisper-medium-verbatim,v1
4,0.2482,0.1403,0.6698,0.4789,nb-whisper-medium-verbatim,v2
4,0.2642,0.1679,0.6656,0.4754,nb-whisper-base,v1
4,0.2662,0.1855,0.6589,0.4633,nb-whisper-base-verbatim,v1
4,0.2662,0.1855,0.6589,0.4633,nb-whisper-base-verbatim,v2
4,0.2639,0.1662,0.6666,0.4591,nb-whisper-tiny,v1
4,0.2877,0.1791,0.6751,0.4549,nb-whisper-tiny-verbatim,v1
4,0.2877,0.1791,0.6751,0.4549,nb-whisper-tiny-verbatim,v2
4,0.2886,0.22,0.6602,0.4293,medium,v1
4,0.2948,0.1724,0.6812,0.4032,base,v1
4,0.3043,0.1415,0.6962,0.39,tiny,v1
