Category,Precision,Recall,Accuracy,Total_mean,Model,Version
2,0.2193,0.2848,0.8505,0.4869,nb-whisper-medium,v1
2,0.2131,0.2946,0.8445,0.4789,nb-whisper-medium-verbatim,v1
2,0.2131,0.2946,0.8445,0.4789,nb-whisper-medium-verbatim,v2
2,0.1824,0.2984,0.8241,0.4754,nb-whisper-base,v1
2,0.1688,0.3145,0.8066,0.4633,nb-whisper-base-verbatim,v2
2,0.1688,0.3145,0.8066,0.4633,nb-whisper-base-verbatim,v1
2,0.1505,0.2871,0.7976,0.4591,nb-whisper-tiny,v1
2,0.1394,0.2983,0.7795,0.4549,nb-whisper-tiny-verbatim,v2
2,0.1394,0.2983,0.7795,0.4549,nb-whisper-tiny-verbatim,v1
2,0.1187,0.2809,0.7567,0.4293,medium,v1
2,0.0989,0.3185,0.6897,0.4032,base,v1
2,0.0831,0.3007,0.6518,0.39,tiny,v1
